Heart disease_number,diabetes_number,Two or more races pop,0-9,20-29,30-39,40-49,50-59,80+,Unemployed_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Total Specialist Physicians (2019),STATE_NAME_N
0.9999999999999999,0.9999999999999999,1.0,0.029943232087981574,0.02285634649114075,0.022873382060455458,0.025226062017433146,0.029387690095398964,0.034922461581643395,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.26
0.054928844151336344,0.05115785001062247,0.023965141612200435,0.0009741337286147851,0.0006447995694485744,0.0006285652266263959,0.0008273632813657345,0.0009096554412020315,0.0008701143779383903,0.04960245094463492,0.060427420115754076,0.037825505576335954,0.05950159022053393,0.04447229207622718,0.34
0.010673377299548769,0.009461086325331068,0.0072621641249092225,0.00022263549107678606,9.312344379486384e-05,0.00013783156982167792,0.00013406692383813605,0.00019908284066711126,0.00024980703108553785,0.010504048435334453,0.012118326322376293,0.011276845829865148,0.028754699688605893,0.007826824585336045,0.68
0.9999999999999999,0.9999999999999999,1.0,0.01611748532799008,0.013827225826920126,0.014234605312308359,0.016339128579809077,0.018853910714408773,0.025137885060697498,1.0,0.9932885091801051,1.0,1.0000000000000002,0.9928074199145358,0.96
0.06308573412009719,0.05727639685574675,0.021544420237230695,0.00122987486892232,0.0007976504634015233,0.0008256577129414523,0.0009303207532635297,0.0013101182322362592,0.0019872289663883237,0.05047778831424612,0.07663053340227673,0.06341712523789504,0.129792154319982,0.05453884608701746,0.3
0.004512322110378341,0.003909071595496069,0.007504236262406197,7.366006953841621e-05,4.30294533396957e-05,4.8607268584456464e-05,5.036768409388537e-05,7.886743303350947e-05,0.00014595466984773,0.004960245094463491,0.003866925152240802,0.005789393609350027,0.012276661962377632,0.0027799269189013624,0.52
0.11159319680666435,0.11058706890446852,0.048656499636891795,0.0017496335618450772,0.001567042778341157,0.001604705716281371,0.0016991686369319562,0.0019992511422377984,0.002562627184057259,0.10037201838208477,0.10376585235422256,0.04725841559789278,0.10927059000104153,0.0877239318080176,0.28
0.9999999999999999,0.9999999999999999,1.0,0.0651742639993445,0.06133752238976593,0.06478882805212031,0.0601367927043891,0.06595308230008062,0.07175356115360326,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.62
0.9999999999999999,0.9999999999999999,1.0,0.05056639627627658,0.047720305984369396,0.05762025471540444,0.05544000616263429,0.06227234685743907,0.05885341379552313,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.1
0.2125997917389795,0.2457049784009631,0.13435003631082063,0.004622376273843309,0.003638878845115162,0.0034917331021491736,0.0035198122766785774,0.003722083417241646,0.003918321521296751,0.2264205996060982,0.19573736227213864,0.2522269622081977,0.16236865720182272,0.17448782062819487,0.2
