Heart disease_number,diabetes_number,Two or more races pop,0-9,20-29,30-39,40-49,50-59,80+,Unemployed_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Total Specialist Physicians (2019),STATE_NAME_N
2073,3975,429,3281,3969,3469,3293,4056,942,369,12.08614399,5.977541277,0.393184317,36.76558276,40
733,1095,202,1082,907,1013,1147,1436,493,261,5.498702561,2.786187899,0.465480911,12.76891161,16
445,821,73,486,651,595,587,689,351,111,2.692261806,1.263763804,0.057717091,7.065533886,46
2913,3806,904,3749,3513,3645,3912,5205,2295,905,15.85527088,13.57024655,0.516551811,72.83021824,22
2208,3320,1099,4698,7822,4363,3996,4311,1646,750,22.00552566,11.15018109,1.862830735,51.10052945,16
1830,2866,450,2926,2969,2824,2658,2994,1073,393,8.112304279,4.787898374,0.428559105,27.77685762,43
2029,2687,525,2122,2710,2378,2565,3594,1469,600,10.84580651,9.282734397,0.353347542,49.81954969,22
2454,3581,538,3518,6010,3362,3662,4213,1587,675,28.37062575,5.883400468,0.567609944,49.86576755,42
2181,3093,241,2090,1848,1886,2265,2568,929,422,9.505904204,6.740917206,0.565106832,28.28561516,48
2027,2848,786,2760,2640,2958,2814,3549,1327,525,13.4295732,7.401925639,0.389911454,39.38744887,37
40686,91707,12466,125998,137354,112056,100999,92969,26674,15221,289.9989252,171.1579515,15.32014524,992.9680369,43
743,1478,99,1643,1275,1239,1128,1119,467,224,3.555492687,2.098458967,0.187830573,12.17415062,43
7375,10855,1824,19299,17910,20271,18712,17598,3332,2751,70.80213426,22.97175845,4.73212234,224.4164095,18
5182,7459,1327,8958,14081,9220,8872,9473,3047,1219,66.94075252,13.88193755,1.339280887,117.6587374,42
1925,3171,306,4498,3826,3840,3819,4165,1539,485,16.6409564,4.072287331,0.636144293,41.9566077,14
4033,6303,1185,8937,7893,8685,8630,9853,2045,1063,23.56014047,13.9052425,1.244641764,80.6708729,43
765,1039,72,722,996,979,1067,982,349,192,4.929832186,1.656719337,0.176425487,10.8476471,17
717,1084,106,1250,1114,1125,1194,1481,463,143,5.271958186,1.290125881,0.201534457,13.29211351,14
1805,2465,429,3175,2823,3029,2893,3469,1144,443,14.13103571,2.750113769,0.50453215,44.93230992,25
864,1418,187,939,1028,1048,1055,1478,512,184,4.377830564,3.93698479,0.103946793,13.90195548,33
26639,42410,10388,53282,74628,60737,57118,59315,16986,7048,395.048334,81.92373246,7.9037158,694.358615,42
